Index,Position,Wrong_Tag,Preceding_Tag,Proceeding_Tag
0,6,ADP_DET,VERB,ADJ
1,33,VERB_NOUN,DET,ADP
2,5,NOUN_ADJ,DET,ADP
2,17,VERB_NOUN,NOUN,ADP
3,22,ADV_ADJ,VERB,CONJ
4,2,ADP_DET,VERB,ADJ
5,12,VERB_ADV,PRT,ADJ
6,2,ADP_PRON,VERB,.
6,32,NOUN_VERB,NOUN,NOUN
6,33,NOUN_VERB,NOUN,.
6,32,NOUN_VERB,NOUN,NOUN
6,33,NOUN_VERB,NOUN,.
7,6,ADJ_NOUN,.,NOUN
8,5,NOUN_ADJ,DET,ADV
9,15,NOUN_VERB,NOUN,ADV
9,21,VERB_NOUN,VERB,NOUN
10,22,ADJ_ADV,VERB,NOUN
10,23,NOUN_VERB,ADJ,ADV
11,13,ADP_DET,VERB,ADJ
12,22,VERB_ADV,VERB,VERB
13,11,ADV_ADJ,DET,ADJ
14,2,ADV_ADP,NOUN,ADV
15,9,ADP_PRT,VERB,ADP
16,3,ADJ_ADV,VERB,ADP
17,22,VERB_NOUN,CONJ,.
17,24,ADP_ADV,.,ADP
18,9,VERB_NOUN,ADP,.
19,17,ADP_ADV,CONJ,ADP
20,6,ADJ_NOUN,DET,.
20,11,ADJ_NUM,CONJ,NOUN
21,12,ADV_ADP,ADP,ADJ
22,11,VERB_NOUN,VERB,ADP
22,17,ADP_DET,CONJ,ADJ
22,27,ADJ_ADV,CONJ,ADP
23,5,ADP_PRT,ADP,ADP
24,2,NOUN_VERB,VERB,NOUN
25,7,ADP_PRT,ADP,ADP
26,22,NOUN_VERB,VERB,ADP
27,5,ADJ_PRT,.,VERB
27,21,VERB_NOUN,DET,NOUN
28,8,ADJ_NUM,VERB,NOUN
28,16,ADP_PRT,ADP,ADP
29,6,VERB_NOUN,VERB,NUM
30,13,ADJ_NOUN,.,NOUN
31,5,ADP_PRON,VERB,.
32,12,NOUN_VERB,NOUN,VERB
33,19,VERB_NOUN,NOUN,ADP
34,10,ADP_DET,PRT,ADJ
34,17,VERB_NOUN,DET,DET
35,27,ADJ_ADV,VERB,VERB
36,24,ADJ_VERB,ADV,ADP
37,15,PRT_NOUN,DET,ADV
38,18,ADP_DET,VERB,ADJ
38,34,VERB_NOUN,ADP,NOUN
39,28,ADP_ADV,NOUN,ADP
40,16,VERB_NOUN,VERB,ADP
41,6,NOUN_VERB,VERB,ADV
42,15,VERB_NOUN,CONJ,NUM
43,4,NOUN_VERB,DET,ADP
44,1,DET_PRON,.,VERB
45,7,ADJ_ADV,VERB,ADP
46,20,ADV_ADP,NOUN,ADV
47,11,PRT_ADP,VERB,ADP
48,11,NOUN_ADJ,ADP,NOUN
48,26,NOUN_ADJ,ADP,ADJ
48,11,NOUN_ADJ,ADP,NOUN
48,26,NOUN_ADJ,ADP,ADJ
49,4,ADJ_ADV,PRON,PRT
50,7,PRT_ADP,NOUN,VERB
50,8,VERB_NOUN,PRT,ADP
51,3,VERB_ADJ,ADJ,NOUN
52,9,ADJ_VERB,NOUN,.
53,23,PRT_ADP,VERB,ADP
54,23,ADJ_NOUN,DET,NOUN
55,8,ADP_PRT,ADP,ADP
56,4,PRT_ADP,NOUN,VERB
56,6,PRT_ADP,VERB,PRT
56,5,VERB_NOUN,PRT,PRT
56,4,PRT_ADP,NOUN,VERB
56,6,PRT_ADP,VERB,PRT
56,10,NOUN_ADJ,ADJ,NOUN
56,20,NOUN_ADJ,ADP,NOUN
56,10,NOUN_ADJ,ADJ,NOUN
56,20,NOUN_ADJ,ADP,NOUN
57,16,ADP_PRON,VERB,VERB
58,5,NOUN_ADJ,DET,NOUN
58,33,NOUN_ADJ,DET,NOUN
58,23,ADJ_ADV,ADP,VERB
58,5,NOUN_ADJ,DET,NOUN
58,33,NOUN_ADJ,DET,NOUN
59,6,PRT_ADP,VERB,NOUN
59,13,ADV_ADJ,DET,ADJ
60,2,NOUN_ADJ,DET,NOUN
60,12,NOUN_NUM,.,VERB
61,8,NOUN_ADJ,DET,NOUN
62,10,ADV_ADJ,DET,ADJ
63,17,ADP_ADV,.,ADP
63,32,ADJ_ADV,VERB,ADP
64,3,ADV_ADJ,DET,ADJ
65,15,NUM_NOUN,ADJ,NOUN
65,17,ADP_PRT,NOUN,ADP
66,1,NOUN_ADJ,DET,NOUN
67,6,ADV_ADJ,ADV,PRT
68,3,NOUN_ADJ,DET,ADP
69,10,VERB_NOUN,CONJ,PRT
69,11,PRT_ADP,VERB,DET
70,5,ADP_PRON,VERB,VERB
71,7,ADJ_ADV,.,ADP
71,10,ADV_ADJ,ADJ,ADP
72,4,ADJ_NOUN,DET,NOUN
72,16,PRT_ADP,NOUN,VERB
72,17,VERB_ADJ,PRT,NOUN
73,15,VERB_NOUN,NOUN,.
74,2,VERB_ADP,VERB,PRT
74,21,ADJ_NOUN,VERB,.
75,23,VERB_NOUN,ADJ,NOUN
75,29,NOUN_ADJ,DET,NOUN
76,41,ADV_ADP,NOUN,ADV
76,49,DET_PRON,NOUN,VERB
76,52,ADP_PRT,VERB,DET
77,1,ADJ_VERB,NOUN,
78,0,VERB_NOUN,,ADP
79,19,VERB_ADJ,NUM,NOUN
80,6,ADV_ADJ,DET,VERB
80,7,VERB_NOUN,ADV,ADP
81,6,NOUN_NUM,ADV,ADP
82,2,ADJ_ADV,VERB,PRT
83,5,PRT_ADP,VERB,PRON
84,15,PRT_ADP,VERB,DET
85,1,VERB_NOUN,NOUN,
86,43,NOUN_ADJ,ADP,ADJ
86,44,ADJ_NOUN,NOUN,NOUN
87,22,ADJ_NOUN,ADJ,NOUN
88,7,NOUN_ADJ,NOUN,ADP
89,1,NOUN_ADJ,NOUN,NOUN
90,8,ADP_PRT,PRON,ADP
91,6,VERB_ADJ,ADP,NOUN
91,8,NOUN_VERB,NOUN,ADP
92,1,NOUN_VERB,VERB,ADP
93,6,PRT_ADP,NOUN,ADJ
93,19,NOUN_ADJ,ADP,NOUN
94,9,NOUN_VERB,NOUN,VERB
95,4,ADV_VERB,NOUN,DET
96,9,VERB_ADV,VERB,VERB
97,11,VERB_PRT,.,VERB
97,39,PRT_ADP,NOUN,VERB
97,40,VERB_NOUN,PRT,ADP
98,7,ADJ_NOUN,DET,VERB
99,2,NOUN_VERB,NOUN,DET
99,8,NOUN_NUM,DET,NUM
99,15,ADJ_NUM,NUM,NOUN
100,5,ADP_PRT,NUM,ADP
101,16,NOUN_ADJ,.,ADP
102,17,ADJ_ADV,NOUN,NOUN
102,18,NOUN_VERB,ADJ,ADP
102,33,NOUN_ADJ,CONJ,NOUN
102,35,NOUN_ADJ,NOUN,ADP
102,33,NOUN_ADJ,CONJ,NOUN
102,35,NOUN_ADJ,NOUN,ADP
103,22,ADV_ADJ,NOUN,ADP
104,7,NOUN_ADJ,ADP,NOUN
104,15,NOUN_ADJ,DET,.
104,35,NOUN_ADJ,CONJ,ADJ
104,7,NOUN_ADJ,ADP,NOUN
104,15,NOUN_ADJ,DET,.
104,35,NOUN_ADJ,CONJ,ADJ
104,7,NOUN_ADJ,ADP,NOUN
104,15,NOUN_ADJ,DET,.
104,35,NOUN_ADJ,CONJ,ADJ
105,1,VERB_NOUN,NOUN,
106,8,NOUN_VERB,PRT,ADJ
106,9,ADJ_NUM,NOUN,NOUN
107,13,PRT_ADP,VERB,NUM
108,9,NOUN_ADJ,DET,NOUN
108,12,VERB_NOUN,.,PRT
109,0,NOUN_X,,NOUN
109,1,NOUN_X,NOUN,NOUN
109,2,NOUN_X,NOUN,.
109,0,NOUN_X,,NOUN
109,1,NOUN_X,NOUN,NOUN
109,2,NOUN_X,NOUN,.
109,0,NOUN_X,,NOUN
109,1,NOUN_X,NOUN,NOUN
109,2,NOUN_X,NOUN,.
110,5,NOUN_ADV,VERB,PRT
111,12,ADJ_NOUN,DET,NOUN
111,20,NUM_ADJ,DET,NOUN
111,25,NOUN_ADJ,NOUN,NOUN
112,25,ADP_PRT,.,ADP
113,5,ADV_ADP,NOUN,ADP
